radius,Hnuc [erg/g/s],h [erg/g],tfromp,p0,rho,X(h1),X(he4),X(o16),X(o20),X(f20),X(ne20),X(mg24),X(al27),X(si28),X(p31),X(s32)
62109375.0,1284622.1061559166,1.4911411752828544e+18,228052200.13497815,2.940676341335457e+26,695881534.2948567,9.999998165537248e-11,1.0000000064383952e-10,0.5999999994600002,9.999999991000001e-11,9.999973968192351e-11,0.3999999996400002,1.0000000211912605e-10,9.99995669476089e-11,1.0000045255265108e-10,9.999993112150567e-11,1.0000006518705332e-10
64453125.0,1159104.7963000454,1.411906275872317e+18,222751148.68828878,2.425719572493707e+26,603086719.2792894,9.99999892391232e-11,1.0000000031987762e-10,0.59999999946,9.999999990986299e-11,9.999970013664512e-11,0.3999999996400003,1.0000000081309447e-10,9.999974334589886e-11,1.0000026777632942e-10,9.999996368641928e-11,1.000000344317321e-10
66796875.0,0.0,1.3354890572741842e+18,217660434.78054222,1.9952576022963182e+26,521650407.2199649,9.99999936988961e-11,1.0000000012704006e-10,0.5999999994600003,9.999999983738003e-11,9.999966091059069e-11,0.39999999964000016,1.0000000030864717e-10,9.999984876021143e-11,1.000001575350325e-10,9.999998090812001e-11,1.0000001809907932e-10
69140625.0,1932757.7604339032,1.2630975958899387e+18,212874530.6251214,1.6425406247936662e+26,451537889.4795721,9.999999626360761e-11,1.0000000002343881e-10,0.5999999994599997,9.999999856882079e-11,9.999962430243303e-11,0.39999999964000055,1.0000000010123479e-10,9.999991025442486e-11,1.0000009331558428e-10,9.999998980972411e-11,1.0000000962084535e-10
71484375.0,2084017.0634243868,1.1926481965067702e+18,208271236.87241203,1.3458221493908422e+26,389546223.519126,9.99999977825572e-11,9.999999996820056e-11,0.59999999946,9.999999363298884e-11,9.99995921578548e-11,0.3999999996400003,1.0000000000569119e-10,9.999994712823665e-11,1.0000005485354235e-10,9.999999456054424e-11,1.000000050764295e-10
73828125.0,2084017.0634243868,1.1251638575710259e+18,203939863.90363282,1.1007010583437595e+26,335669873.4097239,9.999999866461702e-11,9.999999993986891e-11,0.59999999946,9.999998345776828e-11,9.999956695032816e-11,0.39999999964000027,9.999999995980312e-11,9.999996877406047e-11,1.0000003229844294e-10,9.999999705179492e-11,1.0000000268285573e-10
76171875.0,2084017.0634243868,1.061243373534196e+18,199940471.0199112,9.005729505628266e+25,289378981.29087144,9.999999917286956e-11,9.999999992554948e-11,0.59999999946,9.9999967777733e-11,9.999954954646114e-11,0.39999999964000044,9.999999993689403e-11,9.999998136242317e-11,1.0000001919252365e-10,9.999999835434197e-11,1.0000000142580825e-10
78515625.0,2084017.0634243868,9.987675100390743e+17,196168988.25906792,7.32370136209783e+25,248395557.2902476,9.999999947491644e-11,9.999999991810039e-11,0.5999999994599993,9.999994623907727e-11,9.999953942289215e-11,0.3999999996400011,9.999999992472557e-11,9.999998890254686e-11,1.0000001134804725e-10,9.999999906058782e-11,1.0000000074119513e-10
80859375.0,1073877.18930858,9.381204061437289e+17,192691825.0735757,5.9232603933533685e+25,212412632.9545079,9.999999965303088e-11,9.99999999142481e-11,0.5999999994599953,9.9999919175389e-11,9.999953657961026e-11,0.3999999996400052,9.9999999918174e-11,9.999999337866723e-11,1.0000000669406371e-10,9.999999944287721e-11,1.0000000036898006e-10
83203125.0,0.0,8.80846506493122e+17,189642533.91940552,4.792044870521095e+25,181725775.32378212,9.999999975517504e-11,9.999999991229969e-11,0.5999999994599852,9.99998656478136e-11,9.999955926594519e-11,0.3999999996400156,9.999999991468936e-11,9.999999596006274e-11,1.0000000401145158e-10,9.999999964547947e-11,1.0000000017086503e-10
