,radius,density,temperature,pressure,ne20,o16,o20,mg24,f29,he4,al27,si28,s32,p31,h1,enuc
45,710937.5,8343490640.476267,659414341.6299607,7.362467965628029e+27,0.007721249697549317,0.5999943952050334,0.3922806177715695,5.95833454294354e-16,2.129736987016628e-09,9.814825712255599e-23,1e-30,3.735196110310796e-06,1e-30,1e-30,1e-30,-17034087.349186014
46,726562.5,8343263709.322921,659542135.4937414,7.362249349084381e+27,0.007740837996092014,0.5999943794344285,0.3922610351408509,6.007445121139801e-16,2.134736420255142e-09,9.85700704630201e-23,1e-30,3.745293891655395e-06,1e-30,1e-30,1e-30,-17071328.408984683
47,742187.5,8343038142.798172,659652763.0018237,7.362025989735304e+27,0.007757878008725004,0.5999943657460571,0.392244000046618,6.050324007786844e-16,2.139085381589547e-09,9.893668780234773e-23,1e-30,3.754059514155357e-06,1e-30,1e-30,1e-30,-17102683.64734048
48,757812.5,8342804043.219804,659777217.3602877,7.361797888164468e+27,0.007777061429668833,0.599994350298049,0.3922248221772401,6.098886069923636e-16,2.143979768596727e-09,9.935065549966833e-23,1e-30,3.763951061764845e-06,1e-30,1e-30,1e-30,-17138660.069895864
49,773437.5,8342562045.564026,659913632.5605701,7.361565045101749e+27,0.007798084488111464,0.5999943333032135,0.3922038052278479,6.152487155639504e-16,2.149341167914566e-09,9.980623459612877e-23,1e-30,3.77483148539169e-06,1e-30,1e-30,1e-30,-17178572.451077327
50,789062.5,8342314910.620296,660053045.472503,7.361327461252381e+27,0.007819647587245135,0.5999943158702663,0.3921822483949864,6.207805832632482e-16,2.154839107898031e-09,1.002741346084987e-22,1e-30,3.78599266232664e-06,1e-30,1e-30,1e-30,-17219505.2012389
51,804687.5,8342062808.684224,660195068.9006089,7.36108513729639e+27,0.007841666383904104,0.5999942980482477,0.3921602360046715,6.26463813332054e-16,2.160451795948209e-09,1.007528982153268e-22,9.999999999999999e-31,3.797402724085328e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-17261269.152715404
52,820312.5,8341805720.138197,660339661.7726003,7.360838073925092e+27,0.007864153326919655,0.5999942798429111,0.392137755605533,6.323002089500154e-16,2.16618269695737e-09,1.01242470156289e-22,1e-30,3.809058452754103e-06,1e-30,1e-30,1e-30,-17303889.176439032
53,835937.5,8341543611.554199,660487138.7156265,7.360586271843008e+27,0.00788711893053799,0.5999942611941339,0.3921147967062751,6.383083141247556e-16,2.172033165760758e-09,1.017443382545016e-22,1e-30,3.820997019229541e-06,1e-30,1e-30,1e-30,-17347386.25318435
54,851562.5,8341276548.047907,660637290.0016056,7.360329731770073e+27,0.00791053285651501,0.5999942421305718,0.392091389634742,6.444791291756701e-16,2.177995588651073e-09,1.022577470037034e-22,1e-30,3.83320017489463e-06,1e-30,1e-30,1e-30,-17391690.650891166
55,867187.5,8341004423.54323,660790136.2069836,7.360068454437799e+27,0.007934454256621138,0.5999942226550412,0.392067475236787,6.508215400888307e-16,2.184086050747656e-09,1.02782913433995e-22,1e-30,3.845667463985982e-06,1e-30,1e-30,1e-30,-17436929.979956284
56,882812.5,8340728477.274776,660942098.5201882,7.359802440575087e+27,0.0079582877019756,0.5999942032113948,0.3920436487826675,6.571879359621682e-16,2.190152016579108e-09,1.033077110207904e-22,1e-30,3.858113809383935e-06,1e-30,1e-30,1e-30,-17481774.17538821
57,898437.5,8340446891.383164,661098720.086832,7.359531690928893e+27,0.007982899592501383,0.5999941830934682,0.3920190441265493,6.638091977484465e-16,2.196414017595198e-09,1.038512201632284e-22,1e-30,3.870991066402821e-06,1e-30,1e-30,1e-30,-17528154.090834875
58,914062.5,8340159662.761637,661259971.4224216,7.359256206293312e+27,0.008008292927329151,0.5999941622904044,0.3919936582734116,6.706956858699404e-16,2.202872410336203e-09,1.044138418069305e-22,1e-30,3.884305981697218e-06,1e-30,1e-30,1e-30,-17576071.568100274
59,929687.5,8339872075.376248,661409748.1660709,7.358975987387563e+27,0.008031950248978858,0.5999941428974982,0.3919700079261985,6.771516583487047e-16,2.208887865250288e-09,1.049389229453844e-22,1e-30,3.896718435931523e-06,1e-30,1e-30,1e-30,-17619916.896199588
60,945312.5,8339575165.228522,661575251.4955857,7.358691034996712e+27,0.008058146565978452,0.599994121376976,0.3919438193497468,6.843575982631309e-16,2.215546460819072e-09,1.055222672800502e-22,1e-30,3.910491751648014e-06,1e-30,1e-30,1e-30,-17669209.210024696
